reservatorio;cod;V;A
Acaraú Mirim;1;0;0
Acaraú Mirim;1;0.42;0.54
Acaraú Mirim;1;1.12;0.85
Acaraú Mirim;1;2.15;1.21
Acaraú Mirim;1;3.59;1.66
Acaraú Mirim;1;5.48;2.13
Acaraú Mirim;1;7.86;2.62
Acaraú Mirim;1;9.5;2.85
Acaraú Mirim;1;11;3.07
Acaraú Mirim;1;14.4;3.27
Acaraú Mirim;1;18.4;4.1
Acaraú Mirim;1;22.6;4.7
Acaraú Mirim;1;27.4;5.3
Acaraú Mirim;1;33.2;5.7
Acaraú Mirim;1;39.2;6.1
Acaraú Mirim;1;45.4;6.78
Acaraú Mirim;1;52;7.46
Acaraú Mirim;1;59;8
Acaraú Mirim;1;66;8.54
Banabuiú;2;0;0
Banabuiú;2;0.003;0
Banabuiú;2;0.009;0.01
Banabuiú;2;0.021;0.02
Banabuiú;2;0.059;0.06
Banabuiú;2;0.162;0.15
Banabuiú;2;0.359;0.25
Banabuiú;2;0.673;0.4
Banabuiú;2;1.178;0.62
Banabuiú;2;1.931;0.88
Banabuiú;2;2.978;1.23
Banabuiú;2;4.4443;1.73
Banabuiú;2;6.475;2.33
Banabuiú;2;9.123;2.98
Banabuiú;2;12.465;3.71
Banabuiú;2;16.522;4.39
Banabuiú;2;21.212;4.97
Banabuiú;2;26.397;5.37
Banabuiú;2;30.299;5.62
Banabuiú;2;41.5;6.1352
Banabuiú;2;111.5;10.0952
Banabuiú;2;201.5;17.0052
Banabuiú;2;321.5;31.1052
Banabuiú;2;521.5;41.5352
Banabuiú;2;751.5;65.1552
Banabuiú;2;1141.5;90.3352
Banabuiú;2;1601;144.8652
Banabuiú;2;1676.5;154.6552
Caxitoré;3;0;0
Caxitoré;3;0.3;0.6
Caxitoré;3;1.1;1
Caxitoré;3;2.2;1.2
Caxitoré;3;5;1.5
Caxitoré;3;7;2.1
Caxitoré;3;10;2.7
Caxitoré;3;13;3.4
Caxitoré;3;16;4.3
Caxitoré;3;20;4.9
Caxitoré;3;26;5.7
Caxitoré;3;33;6.6
Caxitoré;3;41;7.5
Caxitoré;3;49;8.6
Caxitoré;3;59;9.9
Caxitoré;3;69;11.3
Caxitoré;3;81;12.6
Caxitoré;3;94;13.8
Caxitoré;3;108;15.2
Caxitoré;3;123;16.5
Caxitoré;3;140;18
Caxitoré;3;158;19.5
Caxitoré;3;178;20.8
Caxitoré;3;202;22.5
Caxitoré;3;205;25
Caxitoré;3;207;28
Cedro;4;0;0
Cedro;4;0.000087;0.002162964
Cedro;4;0.024574;0.156481371
Cedro;4;0.186115;0.472504934
Cedro;4;0.478259;0.689369778
Cedro;4;0.865952;0.851528429
Cedro;4;1.348432;1.144150722
Cedro;4;2.01243;1.464875888
Cedro;4;2.80635544;1.724139613
Cedro;4;3.766402;2.167781305
Cedro;4;4.983023;2.682039701
Cedro;4;6.454504;3.191571615
Cedro;4;8.180533;3.714931548
Cedro;4;10.179792;4.285442156
Cedro;4;12.459319;4.862099408
Cedro;4;15.051253;5.587960597
Cedro;4;16.075345;5.852456123
Cedro;4;21.101;7.4
Cedro;4;29.86;8.89
Cedro;4;38.611;10.38
Cedro;4;50.631;12.12
Cedro;4;62.641;13.86
Cedro;4;78.3351;15.78
Cedro;4;94.061;17.71
Cedro;4;113.791;18.55
Cedro;4;122;19.12
Cedro;4;131;19.39
Edson Queiroz;5;0;0
Edson Queiroz;5;8.9;2.256
