cod;reservatorio;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ
1;Acaraú Mirim;182;143;130;118;122;129;152;175;188;202;193;192
2;Banabuiú;204.7117413;171.6224891;162.950698;138.7109548;133.5486225;134.3121439;155.3808702;172.7485248;185.585201;202.2036362;198.5929509;205.1214214
3;Caxitoré;140.8853004;110.39179;103.062783;90.59020028;92.22728651;95.44662448;115.1385452;133.8853004;145.4675522;155.6868901;149.0498039;147.5772211
4;Cedro;190.070812;162.0663862;166.0132772;147.9734455;137.9911485;130.0309802;143.0663862;162.0575347;177.0442575;195.035406;189.0398317;192.0575347
5;Edson Queiroz;173.4462808;140.2371371;130.5244612;114.0433649;114.1989568;118.1798965;138.9642033;158.5662791;170.7199318;184.0392694;177.454182;178.7019854
6;Favelas;197;151;147;135;123;120;141;160;175;186;195;199
7;General Sampaio;96.3212241;75.04786739;73.86562958;60.88081606;59.95674848;59.07824036;75.18454574;89.3212241;99.36678355;105.4882754;101.412343;99.42752948
8;Manoel Balbino;186;138;134;115;123;121;143;160;178;194;193;199
9;Orós;183.8449142;139.2047713;131.816417;117.5885489;118.254008;118.9338628;136.6907458;160.064396;178.3207129;198.2747604;196.5646926;199.064396
10;Patu;205.7675016;176.328338;168.4316706;141.8191679;135.664169;136.5608364;157.5608364;174.6125027;186.6900022;202.5608364;197.9225005;204.8450011
11;Pedras Brancas;191.7602623;163.3120644;165.3881086;146.6558961;137.2258845;130.3860781;144.6483353;163.7607522;178.3026908;196.0788367;190.2213338;193.7607522
12;Pentecoste;95;74;73;60;59;58;74;88;98;104;100;98
13;Pompeu Sobrinho;190;162;166;148;138;130;143;162;177;195;189;192
14;Prazeres;186;138;134;115;123;121;143;160;178;194;193;199
15;Quixabinha;186;138;134;115;123;121;143;160;178;194;193;199
16;Quixeramobim;205.6431162;176.6586205;168.9009535;142.0938407;136.0165568;136.8356949;157.6690928;174.7114266;186.7726342;202.8121615;197.7930517;204.7072484
17;Riacho do Sangue;204.93236;167.9250598;156.7221397;133.9926998;131.7294399;133.2632599;154.7970799;172.3308999;185.93236;204.60146;200.6691001;207.13528
