reservatorio;volume
Acaraú Mirim;52
Banabuiú;1601
Caxitoré;202
Cedro;125.694
Edson Queiroz (Serrote);254
Favelas;30.1
General Sampaio;322.2
Manoel Balbino;37.18
Orós;1940
Patu;71.829
Pedras Brancas;434.0515
Pereira de Miranda (Pentecoste);395.638
Pompeu Sobrinho (Choró);143
Prazeres;32.5
Quixabinha;31.78
Quixeramobim;54
Riacho do Sangue;61.424
Salão;6.0492
Santo Antônio de Russas;24
São Mateus;10.34
São Pedro Timbaúba;19.259
Sobral (Cachoeira);4.675
Thomas Osterne (Umari);28.78
Trici;16.5
Várzea do Boi;51.91
Nova Floresta;7.61
Poço da Pedra;52
Joaquim Távora (Feiticeiro);26.7728
Ema;10.39
Araras (Paulo Sarasate);891
Adauto Bezerra;5.25
Capitão Mor;6
Cupim;4.55
Gomes;2.394
São José I;7.67
Trapiá I;2.01
Caracas;9.63
Amanary;11.01
Atalho;108.25
Ayres de Souza;97
Santo Antônio de Aracatiaçu;24.34
Forquilha;50.132
Jaburu II;116
Carnaubal;87.69
Realejo;31.55112
Santa Maria de Aracatiaçu;8.2
Patos;7.55
Tucunduba;41.43
Farias de Sousa;12.23
Diamante;13.2
Mundaú;21.3
Premuoca;5.202625
Lima Campos (Estreito I);66.382
Bonito;6
Carão;26.23
Sucesso;10
Poço do Barro;54.7035
Quincoé;0
Jaburu I;138.127743
Várzea da Volta;12.5
Forquilha II;3.4
Canafístula;13.11
Tatajuba;2.72
Frios;33.02
Acarape do Meio;31.5
Quandú;4
Pacajus;240
São Vicente;9.8452
Potiretama;6.33
Arrebita;19.6
Cipoada;86.09
São José II;29.14
Pacoti;380
Parambu;8.53
Poço Verde;13.65
Tejuçuoca;28.11
Gavião;32.9
Trapiá II;18.19
Castro;63.9
Serafim Dias;43
Valério;2.02
Tigre;3.51
Angicos;56.05
Riachão;46.95
Estrema;2.9
Fogareiro;119
Jerimum;20.5
Trussu;301
Martinópole;23.2
Canoas;69.25
Trapiá III;5.51
Vieirão;20.96
Colina;3.25
Do Coronel;1.77
Jatobá;6
São Domingos;3.035
Pau Preto;1.808767
Olho d'Água;21
Cauhipe;12
Sitios Novos;126
Souza;30.84
Monsenhor Tabosa;12.1
Ubaldinho;31.8
Barra Velha;99.5
Madeiro;2.81
Santa Maria;5.8668
Pirabibu;74
Muquém;47.643406
Gangorra;62.5
Cachoeira;34.33
Jenipapeiro;43.4
Flor do Campo;111.3
Rivaldo de Carvalho;19.52
Benguê;19.56
Desterro;5.01
Penedo;2.414
Itaúna;77.5
Rosário;47.2
Castanhão;6700
Catucinzenta;27.13
Santo Antônio;0.832
Aracoiaba;170.7
Malcozinhado;37.84
Carmina;13.628
Faé;24.408688
Arneiroz II;197.06
Itapebussu;8.8
Macacos;10.320337
Curral Velho;12.165745
Pesqueiro;8.2
